,Profile distance (m),Elevations (m),G_D (mGal),STD
0,-20.0,1742.206,342.66899834005244,0.02270389100274861
1,-19.0,1742.182,342.6199904447773,0.09335059364209615
2,-18.0,1742.144,342.679782992324,0.014730919862778667
3,-17.0,1742.141,342.6599199404642,0.00818535277187334
4,-16.0,1742.099,342.6592949535907,0.003511884584433201
5,-15.0,1742.055,342.66889511691613,0.0017320508075935569
6,-14.0,1742.038,342.6716920439578,0.002645751311087966
7,-13.0,1741.95,342.65532204809335,0.004932882862314834
8,-12.0,1741.998,342.66545425441734,0.005131601439532311
9,-11.0,1741.973,342.667967209454,0.003055050463380502
10,-10.0,1741.943,342.65924973157854,0.006244997998432768
11,-9.0,1741.914,342.6650260885567,0.002516611478379131
12,-8.0,1741.882,342.65643276223466,0.0005773502693072475
13,-7.0,1741.864,342.6618660470997,0.002516611478589946
14,-6.0,1741.865,342.6891540706338,0.04654388610035657
15,-5.0,1741.879,342.65597492189096,0.0009999999999195097
16,-4.0,1741.869,342.6543797205778,0.001154700538614495
17,-3.0,1741.851,342.65303365688436,0.005291502622089992
18,-2.0,1741.835,342.6377479117845,0.0032145502535883045
19,-1.0,1741.813,342.6223036671649,0.0019999999999527063
20,0.0,1741.789,342.60989629999995,0.001
21,1.0,1741.769,342.6246289666668,0.0011547005382863092
22,2.0,1741.752,342.63610592861573,0.0032145502536708257
23,3.0,1741.726,342.6455042000002,0.0015275252316530384
24,4.0,1741.718,342.652095969966,0.0005773502693072475
25,5.0,1741.692,342.6544830666669,0.001527525231888719
26,6.0,1741.666,342.64888988116763,0.0023094010766710744
27,7.0,1741.651,342.6524183666672,0.0005773502689790619
28,8.0,1741.644,342.65440225999225,0.0015275252316158255
29,9.0,1741.605,342.65970350000066,0.011590225767120162
30,10.0,1741.587,342.6497936398909,0.0009999999999195097
31,11.0,1741.568,342.65442560000065,0.0005773502689790619
32,12.0,1741.54,342.65175915180566,0.0009999999998626663
33,13.0,1741.515,342.66500050000036,0.002516611478379131
34,14.0,1741.49,342.64796038367984,0.0011547005382863092
35,15.0,1741.466,342.66269553333336,0.0017320508074622825
36,16.0,1741.428,342.671155677809,0.006658328118546757
37,18.0,1741.249,342.66277002386084,0.0017320508074622825
38,20.0,1741.244,342.6678533431227,0.0026457513111739052
